Symbol,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range,Day Chart
NVDA NVIDIA Corporation,108.97 -10.38 (-8.69%),-10.40,-8.71%,354.464M,347.005M,2.674T,50.93,145.88%,,
"INND InnerScope Hearing Technologies, Inc.",0.3800 0.0000 (0.00%),-,-,89.4M,"30,373",1.789M,-,-83.11%,,
INTC Intel Corporation,20.26 -1.78 (-8.05%),-1.78,-8.05%,75.102M,63.194M,86.653B,84.44,-39.96%,,
"TSLA Tesla, Inc.",211.05 -3.06 (-1.43%),-3.06,-1.43%,63.774M,95.207M,674.245B,59.45,-16.52%,,
NU Nu Holdings Ltd.,14.93 -0.05 (-0.30%),-0.05,-0.30%,50.281M,40.674M,71.481B,48.15,119.82%,,
NIO NIO Inc.,4.1250 +0.0850 (+2.10%),+0.0850,+2.10%,43.743M,40.451M,8.731B,-,-62.63%,,
PSNYW Polestar Automotive Holding UK PLC,0.3137 +0.1759 (+126.18%),+0.1759,+126.18%,38.787M,"79,991",5.893B,-,-76.77%,,
"LCID Lucid Group, Inc.",3.7865 -0.2335 (-5.81%),-0.2335,-5.81%,33.883M,34.186M,8.781B,-,-36.19%,,
F Ford Motor Company,11.01 -0.18 (-1.65%),-0.18,-1.65%,33.26M,58.494M,43.748B,11.46,-7.44%,,
BAC Bank of America Corporation,40.58 -0.17 (-0.40%),-0.17,-0.40%,32.875M,39.151M,314.923B,14.24,42.23%,,
"SOFI SoFi Technologies, Inc.",7.57 -0.42 (-5.32%),-0.42,-5.32%,32.737M,38.678M,8.064B,-,-8.69%,,
T AT&T Inc.,20.31 +0.41 (+2.06%),+0.41,+2.06%,31.179M,32.425M,145.628B,11.67,37.43%,,
VALE Vale S.A.,10.01 -0.51 (-4.85%),-0.51,-4.85%,30.713M,27.184M,42.99B,4.45,-24.21%,,
PFE Pfizer Inc.,28.23 -0.78 (-2.69%),-0.78,-2.69%,30.06M,32.13M,159.971B,-,-18.00%,,
AAPL Apple Inc.,222.08 -6.92 (-3.02%),-6.92,-3.02%,29.615M,63.704M,3.377T,33.80,20.72%,,
"AMD Advanced Micro Devices, Inc.",138.14 -10.42 (-7.01%),-10.42,-7.01%,28.1M,52.354M,223.577B,162.52,34.10%,,
PLTR Palantir Technologies Inc.,30.47 -1.01 (-3.21%),-1.01,-3.21%,26.746M,46.527M,68.236B,179.24,106.97%,,
RIG Transocean Ltd.,4.2750 -0.4650 (-9.81%),-0.4650,-9.81%,24.646M,18.393M,3.743B,-,-42.12%,,
"MARA Marathon Digital Holdings, Inc.",15.30 -1.40 (-8.38%),-1.40,-8.38%,24.147M,43.003M,4.506B,17.00,39.17%,,
"AMZN Amazon.com, Inc.",176.71 -1.79 (-1.01%),-1.79,-1.01%,23.667M,42.283M,1.855T,42.17,30.04%,,
"CLSK CleanSpark, Inc.",9.07 -1.61 (-15.11%),-1.61,-15.11%,23.497M,28.504M,2.252B,-,135.98%,,
NOK Nokia Oyj,4.3700 -0.0900 (-2.02%),-0.0900,-2.02%,23.426M,13.258M,23.845B,23.00,11.50%,,
