name,link,bio,image,special_id,collected_at
Maxwell Miller                                         Behind The Curtain:                     Staging Realism,https://www.smartartisthub.com/exhibitions/maxwell-miller-behind-the-curtain-staging-realism,"Smart Artist Hub presents: ""Behind the Curtain: Staging Realism"" - A Solo Exhibition by Maxwell Miller
This Exhibition is now closed.
We are thrilled to present the captivating works of Maxwell G. Miller, an American contemporary realist artist whose compositions transport viewers into a world of dramatic portraiture and intricate still life, rich with narrative depth. Maxwell's journey as an artist has been influenced by his background in scenic artistry, and expertise in theatrical puppetry. This unique blend of experiences has infused his paintings and charcoal drawings with a sense of theatricality that captivates the imagination and sparks a profound engagement with storytelling.
In an era witnessing a resurgence of realism, Maxwell stands at the forefront, skilfully weaving narratives through recognizable imagery.
We invite you to immerse yourself in Maxwell's world of artistic narratives and experience the fusion of history, mythology, and contemporary realism.
For a captivating journey into the world of artistic expression, mark your calendars for this exhibition. Visit Maxwell Miller's website atwww.maxwellgmiller.comto delve deeper into the artist's portfolio and stay tuned for more updates!",https://images.squarespace-cdn.com/content/v1/5e552b534082bc549de5bf77/04fb19c2-f73c-49c7-86de-b049f1113d84/Screenshot+2024-02-23+145202.png,data_2e164cc43ee4b2e21446f3668068ecba_20240926195333,2024-09-26 19:53:33.980207
Virtual Solo Exhibition,https://www.smartartisthub.com/exhibitions/category/Virtual+Solo+Exhibition,"Smart Artist Hub showcases work by artists from our platform in each of our unique exhibitions. We partner with accomplished guest curators to jury these shows, which are based on a specific topic.Be sure to take a look at our curated exhibitions of work by artists from around the globe.
Curator: Claudia Elliott, Text: Urvi Chheda",https://images.squarespace-cdn.com/content/v1/5e552b534082bc549de5bf77/1701180560121-FLWH3KCH8JYYQVRW9F9C/upcoming+art+exhibition4.png,data_2e164cc43ee4b2e21446f3668068ecba_20240926195333,2024-09-26 19:53:33.980207
Kate Wynne-Eyton: Luminous Nature,https://www.smartartisthub.com/exhibitions/kate-wynne-eyton-luminous-nature,"Images from the exhibition.
Kate Wynne Eyton is known for her evocative and radiant artistry, Eyton's work explores the enchanting allure of nature through her unique perspective. This exhibition showcases her ability to capture the luminosity of the natural world, turning ordinary landscapes into extraordinary works of art.
This exhibition offers viewers an immersive journey through Eyton's stunning collection of artworks, highlighting her distinctive style and innovative approach. Each piece stands as a testament to her deep connection with nature and her uncanny ability to illuminate its inherent beauty.
We invite you to explore ""Luminous Nature"" and immerse yourself in the vibrant world of Kate Wynne Eyton. Dive into the depths of her creativity, and experience nature in a whole new light.
Don't miss out on this opportunity to explore Wynne-Eyton's world through her art.",https://images.squarespace-cdn.com/content/v1/5e552b534082bc549de5bf77/f46532e0-dde1-4f2e-b19e-615ae3a96876/Screenshot+2023-12-05+181702.png,data_2e164cc43ee4b2e21446f3668068ecba_20240926195333,2024-09-26 19:53:33.980207
Virtual Group Exhibition,https://www.smartartisthub.com/exhibitions/category/Virtual+Group+Exhibition,"Smart Artist Hub showcases work by artists from our platform in each of our unique exhibitions. We partner with accomplished guest curators to jury these shows, which are based on a specific topic.Be sure to take a look at our curated exhibitions of work by artists from around the globe.
Guest Curator: Stephen Feather.
Curator: Claudia Elliott, Text: Urvi Chheda
Curator: Claudia Elliott, Text: Urvi Chheda
Guest Curator: Kelly Rappleye",https://images.squarespace-cdn.com/content/v1/5e552b534082bc549de5bf77/1699883093815-FWDN6XLO1PDZI1TF9G7J/self2400.jpg,data_2e164cc43ee4b2e21446f3668068ecba_20240926195333,2024-09-26 19:53:33.980207
Apply Now,https://www.smartartisthub.com/exhibitions/category/Apply+Now,"Smart Artist Hub showcases work by artists from our platform in each of our unique exhibitions. We partner with accomplished guest curators to jury these shows, which are based on a specific topic.Be sure to take a look at our curated exhibitions of work by artists from around the globe.",https://images.squarespace-cdn.com/content/v1/5e552b534082bc549de5bf77/1699883093815-FWDN6XLO1PDZI1TF9G7J/self2400.jpg,data_2e164cc43ee4b2e21446f3668068ecba_20240926195333,2024-09-26 19:53:33.980207
Self-Portrait,https://www.smartartisthub.com/exhibitions/self-portrait,"VIRTUAL EXHIBITION
OPENS ON TUESDAY, 21. NOVEMBER 02023 at 20:00 GMT
James Beyor
Jenny Tarr
Dibyendu Seal
Marin Mowat
Bobby Kim Ling Chen

""Self Portrait,"" is the upcoming virtual group exhibition brought to you by Smart Artist Hub. This much-anticipated event will be opening its virtual doors on the 21st of November.
Our exhibition will showcase the extraordinary talents of artists James Beyor, Jenny Tarr, Dibyendu Seal, Marin Mowat, and Bobby Kim Ling Chen. Each artist brings their unique perspective and artistic style to the concept of the self-portrait, offering a profound exploration of self-perception and identity.
Join us in this journey of self-exploration, as we celebrate the power of art in expressing personal narratives. The exhibition will highlight the diversity of our artists' experiences and their ability to translate these into stunning visual pieces.
Mark your calendars for the 21st of November!
We look forward to sharing this unique virtual experience with you.",https://images.squarespace-cdn.com/content/v1/5e552b534082bc549de5bf77/c2bd3e88-65e5-4423-b863-e3b3c9ce156a/Virtual+Exhibition.png,data_2e164cc43ee4b2e21446f3668068ecba_20240926195333,2024-09-26 19:53:33.980207
DRAWN TO NATURE,https://www.smartartisthub.com/exhibitions/drawn-to-nature,"VIRTUAL EXHIBITION
Amy GiacomelliAndrea ShearingClaire SeamannClara LovatoHelen BradburyJolene Gailey
Kate Wayne EytonKathryn MullinMinna TootsOlha TymoshovaRoberta CeuDeKRick Berk
Images from the Exhibition
AboutDrawn To Nature
Smart Artist Hub's new virtual group exhibition, ""Drawn to Nature,"" is a breathtaking exploration of the natural world through the eyes of twelve contemporary artists.
The artists in this show have created unique works that draw inspiration from nature in different ways.
From abstract landscapes to vibrant, bold pieces, photography and intricate illustrations - each piece offers something unique and captivating.",https://images.squarespace-cdn.com/content/v1/5e552b534082bc549de5bf77/076831ed-bdf5-43b7-b578-34fe7a4124a4/Screenshot+2023-05-26+090341.png,data_2e164cc43ee4b2e21446f3668068ecba_20240926195333,2024-09-26 19:53:33.980207
EUPHORIA,https://www.smartartisthub.com/exhibitions/euphoria,"VIRTUAL EXHIBITION
5th August - 2nd September 2022
Featured Artists
Cristian Diez-SanchezElisa VelasquezJulie Reby Waas
Manuel SalazarMónica Acedo
Images from the Exhibition
AboutEuphoria
Euphoria brings together a group of contemporary artists to explore the theme of happiness and the complex blend of emotions that exist alongside it. The artists in the show present artworks which reflect personal responses to the theme and explore how euphoria can be found and experienced in a variety of ways including in the joy of movement, the love of the natural world, the brilliance of colour and the creative process itself. The artists present a striking selection of artworks which have been created using a wide variety of techniques.
The range of responses also reflects the complexity of the theme and how euphoria can be intrinsically linked with sadness and the rest of the emotional spectrum. They show us how euphoria can be such an intense sensation that it may easily swing over into a crazed, manic or over-excited state. Euphoria showcases artworks which reflect the inner voices of the artists, who like so many of us, have experienced the emotional challenges of the global pandemic.
This has given each artist time to reflect and consider exactly what is happiness.
What does happiness look like? And what does it mean to them?
In the show, Cristian Diez-Sanchez presents a series of sculptures which explore the emotional relationship between the human form and its environment. Elisa Velasquez creates sublime, abstracted landscapes with fields of bright, vibrant colours, textures and brushstrokes. In her work, artist Julie Waas, expands joyful organic and geometric forms with interweaving lines, dots, stripes, circles, triangles, leaves, zig-zag’s and undulating lines. Manuel Salazar’s paintings of energetic, swirling forms generate multiple perceptions. Mónica Acedo explores a love of the natural world and nostalgia in her paintings.
Text by Stephen Feather
AboutStephen Feather
Stephen Feather is a practising artist, curator and freelance arts marketing consultant based in London. Stephen is the founder of Contemporary Art Projects, an online community and website which showcases artwork and interviews with some of the most exciting contemporary art and artists from around the globe.
Previously Stephen was the gallery manager of the Menier Gallery in central London. While in the role, Stephen managed a programme of exhibitions and events and worked with several prestigious arts organisations as well as with emerging and established artists.
In 2020, Stephen curated the group exhibition; ‘Space, Place and Home’ in the Menier Gallery. The show explored themes in contemporary art, craft and design and featured a group of artists working in a variety of media including painting, printmaking, sculpture, ceramic and photography.
https://contemporaryartprojects.art.blogwww.instagram.com/contemporary_art_projects
More information about the artists:
Cristian Diez-Sanchez
Elisa Velasquez
Julie Reby Waas
Manuel Salazar
Mónica Acedo
Organised by Claudia Elliott
Founder of Smart Artist Hub.
Stephen Feather is a practising artist, curator and freelance arts marketing consultant based in London. Stephen is the founder of Contemporary Art Projects, an online community and website which showcases artwork and interviews with some of the most exciting contemporary art and artists from around the globe.",https://images.squarespace-cdn.com/content/v1/5e552b534082bc549de5bf77/4684cd40-7a3e-4fe6-a895-cd852de59ad2/Screenshot+2022-08-05+195019.png,data_2e164cc43ee4b2e21446f3668068ecba_20240926195333,2024-09-26 19:53:33.980207
COLLECTIVE DREAMS,https://www.smartartisthub.com/exhibitions/virtual-exhibition-collective-dreams,"VIRTUAL EXHIBITION
Featured Artists
Ruben CukierKevin LawlerJak Jak
Silvana AbramAnatolii Kazymyrchuk
Images from the Exhibition
AboutCOLLECTIVE DREAMS
Collective Dreams, the present online exhibition at Smart Artist Hub, cultivates a process to unravel a few common metaphorical junctions among five selected artists working with diverse styles and intentions.The exhibition maps personal, timely and especially nuanced styles as well as methods of visual expression by the artists.The genre of artworks varies from surreal to abstract but narrates identical angst or fervour of illustrating (not literally but essentially) their dreams, whether real or rhetorical.Have these dreams become mobilised by what Carl Jung explains the term ‘archetypes’? Or is there an attempt in signifying the latent as mentioned by Sigmund Freud?The common aspects of signifiers or signs like colour, text, and form, whether in a surreal or abstract manner, function in an archetypal manner thereby denoting the common ground of socio-political-cultural sentiments.Anatolli Kazymyrchuk’s paintings, contextualised images in Jak Jak and Kevin Lawlers representations, surreal scapes by Ruben Cukier, and abstracts by Silvana Abram assimilate to curate a package of political oneness.Why political?The empowered oneness by the charged tools ideologically authorises the conduct of personal dreams, historical (in the case of Lawler) , cultural (like Cukier) and present ( probably Abrams abstract). This collective psyche constitutes a collective range of illusions, delusions and latent psychological movement.Collective Dreams not only attempt at representing the latent suppressed desires but also rebuilds the newer idea of consciousness that more than being utopian stems from the chord of quasi-realistic sensibilities.
More information about the artists:





Curated by Claudia Elliott
Founder of Smart Artist Hub.
Urvi Chheda holds Masters in Visual Art in Art History and Aesthetics from MS University of Vadodara, India.
Graduated from Sir JJ School of Art, Mumbai, she is presently researching on site-specific art, questioning the artistic autonomy.
At the same time, she is interested in the meme-making process, which, she believes, is slowly becoming a significant part of formal representation.",https://images.squarespace-cdn.com/content/v1/5e552b534082bc549de5bf77/0092b667-7549-44fa-8157-a4e8a601b14b/Screenshot+2022-07-09+203942.png,data_2e164cc43ee4b2e21446f3668068ecba_20240926195333,2024-09-26 19:53:33.980207
SILVANA ABRAM                                     JOURNEY INTO THE SUBLIME,https://www.smartartisthub.com/exhibitions/silvana-abram-journey-into-the-sublime,"Virtual Solo ExhibitionFriday 4th March - Sunday, 3rd April 2022
Journey to the Sublime celebrates the process and many experiential germinations during the course of introspecting, analysing and creating.  While the face of each germination may be different, the underpinning intention armed with motivation and persistence is common. The exhibition maps two kinds of Silvana Abram’s journey: the passage towards the creative essence and the process of beginning from the blank canvas. Here, we trace physical or matter and the abstract or sublime derivatives, which denote not only the conceptual realm but also an identity to her daily meditative realisations.
“Would that you could live on the fragrance of the earth, and like an air plant be sustained by the light.”
― Khalil Gibran, The Prophet

Silvana Abram’s practice is spontaneous yet pragmatic. They are trials and products at the same time.
The binary does not confine to the given time or material, rather it dissolves within the flow, imbuing a transitory effect. The abstract motifs in watercolours and charcoal are neither static nor in the movement, they are themselves in their formal qualities.
So, is it our conditioned perception that identifies us with some confined space?Or are we staring at the efforts of the journey to sublime?
Silvana's expertise in watercolours again discloses her method of timely control. While letting the hues flow over the canvas, she takes a complete charge in merging the next hue. What germinates may appear spontaneous but it is calculated and pragmatic! The interplay of contrast in Silvana’s rendition is motivating, and authoritative.
“Every time – in front a white canvas, I embark on a journey and cross layers of matter until I reach the creative essence. Following from the depth of your breath you compose forms and sounds – cast in the harmony of the universe.”
― Silvana Abram
Journey to the Sublime is an effort to momentarily realise our sensorial alteration in its truest form!
More information about the artist,
Curated by Claudia Elliott
Founder of Smart Artist Hub.
Exhibition text by Urvi Chheda
Urvi Chheda holds Masters in Visual Art in Art History and Aesthetics from MS University of Vadodara, India.
Graduated from Sir JJ School of Art, Mumbai, she is presently researching on site-specific art, questioning the artistic autonomy. At the same time, she is interested in the meme-making process, which, she believes, is slowly becoming a significant part of formal representation.",https://images.squarespace-cdn.com/content/v1/5e552b534082bc549de5bf77/bced7f12-dce6-4fb2-a364-9aa1797c30d2/Screenshot+2022-03-04+190703.png,data_2e164cc43ee4b2e21446f3668068ecba_20240926195333,2024-09-26 19:53:33.980207
