name,link,bio,image
Cancel,https://cinando.com,"Enjoy easy access to the most in-demand tools for film professionals now!
Cinando is the
premier online network for film professionals
offering you the best tools to navigate the film industry:
contacts, films, projects in development, market screening schedules,
market attendees, screeners...
it's all here!
Stay connected with partners and clients & create new business connections.
Use our search filters to quickly access film, company, and personal profiles all year long.
Access certified info: attendees, screening schedules and more within our market themes.
Highlight your company info, upload videos & post news about your activity.
Protect your screeners from piracy with DRM studio-grade security, non-removable individual watermark & detailed viewing reports.
Our player automatically adjusts to your client's bandwidth to give them a smooth viewing experience.
Send out short invitation links to anyone from your Cinando account or personal mailbox.
Access content on-the-go via the Cinando Screeners app available for iPhone and Android.
Register your company on Cinando
for only 149€ a year!","['https://cinando.com/Content/images/logo-large.png', 'https://cinando.com/Content/images/service-network.png', 'https://cinando.com/Content/images/service-search.png', 'https://cinando.com/Content/images/service-prep.png', 'https://cinando.com/Content/images/service-showcase.png', 'https://cinando.com/Content/images/service-security.png', 'https://cinando.com/Content/images/Smooth.svg', 'https://cinando.com/Content/images/service-invitation.png', 'https://cinando.com/Content/images/Premium.svg', 'https://cinando.com/Content/images/cinando-app.png', 'https://cinando.com/Content/images/appstore.png', 'https://cinando.com/Content/images/googleplay.png']"
cookie policy,https://cinando.com/res/PDF/CGU_en.pdf,,[]
"SPY NEXT DOOR, THE",https://cinando.com/en/Film/spy_next_door_the_484981/Detail,"RELATIVITY MEDIA
- as
DISTR
Theatrical, TV, DVD-video, VOD, Airline, World
/
PROD
Family - Completed 2010

Companies
People
Films
Festivals
News
JOB SEARCH
Home
RELATIVITY MEDIA
SPY NEXT DOOR, THE
Summary
Distributors
Company credits
Year of production
2010
Year of production
2010
Genres
Family, Comedy, Action/Adventure
Genres
Family, Comedy, Action/Adventure
Countries
USA
Countries
USA
Languages
ENGLISH
Languages
ENGLISH
Duration
94 mn
Duration
94 mn
Director(s)
Brian LEVANT
Director(s)
Brian LEVANT
Cast
Jackie CHAN
,
Amber VALETTA
,
Billy Ray CYRUS
,
Madeline CARROLL
Cast
Jackie CHAN
,
Amber VALETTA
,
Billy Ray CYRUS
,
Madeline CARROLL
Synopsis
Former CIA spy Bob Ho takes on his toughest assignment to date: looking after his girlfriend's three kids (who haven't exactly warmed to their mom's beau). When one of the youngsters accidentally downloads a top-secret formula, Bob's longtime nemesis, a Russian terrorist, pays a visit to the family.
Synopsis
Former CIA spy Bob Ho takes on his toughest assignment to date: looking after his girlfriend's three kids (who haven't exactly warmed to their mom's beau). When one of the youngsters accidentally downloads a top-secret formula, Bob's longtime nemesis, a Russian terrorist, pays a visit to the family.","['https://dauvsy92u4wdt.cloudfront.net/fit-in/267x388/prod/film/2450820.jpg?width=267&height=388&404=noimg_film_poster.png?width=267&height=388&404=noimg_film_poster.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggePhotos.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggeDocsAndLinks.png']"
{{FirstName}} {{LastName}},https://cinando.com/{{Link}},"Please come back to Cinando.
Companies
People
Films
Festivals
News
JOB SEARCH",[]
Watch screener,https://cinando.com/en/Film/spy_next_door_the_484981/Detail/Player,"Enjoy easy access to the most in-demand tools for film professionals now!
Cinando is the
premier online network for film professionals
offering you the best tools to navigate the film industry:
contacts, films, projects in development, market screening schedules,
market attendees, screeners...
it's all here!
Stay connected with partners and clients & create new business connections.
Use our search filters to quickly access film, company, and personal profiles all year long.
Access certified info: attendees, screening schedules and more within our market themes.
Highlight your company info, upload videos & post news about your activity.
Protect your screeners from piracy with DRM studio-grade security, non-removable individual watermark & detailed viewing reports.
Our player automatically adjusts to your client's bandwidth to give them a smooth viewing experience.
Send out short invitation links to anyone from your Cinando account or personal mailbox.
Access content on-the-go via the Cinando Screeners app available for iPhone and Android.
Register your company on Cinando
for only 149€ a year!","['https://cinando.com/Content/images/logo-large.png', 'https://cinando.com/Content/images/service-network.png', 'https://cinando.com/Content/images/service-search.png', 'https://cinando.com/Content/images/service-prep.png', 'https://cinando.com/Content/images/service-showcase.png', 'https://cinando.com/Content/images/service-security.png', 'https://cinando.com/Content/images/Smooth.svg', 'https://cinando.com/Content/images/service-invitation.png', 'https://cinando.com/Content/images/Premium.svg', 'https://cinando.com/Content/images/cinando-app.png', 'https://cinando.com/Content/images/appstore.png', 'https://cinando.com/Content/images/googleplay.png']"
{{#HasRequest}}Access already requested{{/HasRequest}},https://cinando.com,"Enjoy easy access to the most in-demand tools for film professionals now!
Cinando is the
premier online network for film professionals
offering you the best tools to navigate the film industry:
contacts, films, projects in development, market screening schedules,
market attendees, screeners...
it's all here!
Stay connected with partners and clients & create new business connections.
Use our search filters to quickly access film, company, and personal profiles all year long.
Access certified info: attendees, screening schedules and more within our market themes.
Highlight your company info, upload videos & post news about your activity.
Protect your screeners from piracy with DRM studio-grade security, non-removable individual watermark & detailed viewing reports.
Our player automatically adjusts to your client's bandwidth to give them a smooth viewing experience.
Send out short invitation links to anyone from your Cinando account or personal mailbox.
Access content on-the-go via the Cinando Screeners app available for iPhone and Android.
Register your company on Cinando
for only 149€ a year!","['https://cinando.com/Content/images/logo-large.png', 'https://cinando.com/Content/images/service-network.png', 'https://cinando.com/Content/images/service-search.png', 'https://cinando.com/Content/images/service-prep.png', 'https://cinando.com/Content/images/service-showcase.png', 'https://cinando.com/Content/images/service-security.png', 'https://cinando.com/Content/images/Smooth.svg', 'https://cinando.com/Content/images/service-invitation.png', 'https://cinando.com/Content/images/Premium.svg', 'https://cinando.com/Content/images/cinando-app.png', 'https://cinando.com/Content/images/appstore.png', 'https://cinando.com/Content/images/googleplay.png']"
BABY,https://cinando.com/en/Film/baby_484980/Detail,"INDIE RIGHTS
- as
SALES
All rights, World
/
DISTR
Theatrical, TV, DVD-video, VOD, Airline, World
Thriller - Completed 2024
A tragic tale of an Asian youth's gang life in South East Los Angeles, set during the mid 80's to the early 90s.
Companies
People
Films
Festivals
News
JOB SEARCH
Home
INDIE RIGHTS
BABY
Summary
Distributors
Company credits
Year of production
2024
Year of production
2024
Genres
Thriller, Drama, Crime
Genres
Thriller, Drama, Crime
Countries
USA
Countries
USA
Languages
ENGLISH
Languages
ENGLISH
Duration
100 mn
Duration
100 mn
Director(s)
Juwan CHUNG
Director(s)
Juwan CHUNG
Cast
David HUYNH
,
Feodor CHIN
,
Kenneth CHOI
,
Tzi MA
,
Christina AHN
Cast
David HUYNH
,
Feodor CHIN
,
Kenneth CHOI
,
Tzi MA
,
Christina AHN
Producer(s)
Jason SERRATO
Producer(s)
Jason SERRATO
Synopsis
A tragic tale of an Asian youth's gang life in South East Los Angeles, set during the mid 80's to the early 90s.
Synopsis","['https://dauvsy92u4wdt.cloudfront.net/fit-in/267x388/prod/film/2450812.jpg?width=267&height=388&404=noimg_film_poster.png?width=267&height=388&404=noimg_film_poster.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggePhotos.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggeDocsAndLinks.png']"
SAFE HAVEN,https://cinando.com/en/Film/safe_haven_484979/Detail,"RELATIVITY MEDIA
- as
DISTR
Theatrical, TV, DVD-video, VOD, Airline, World
/
PROD
Drama - Completed 2013

Companies
People
Films
Festivals
News
JOB SEARCH
Home
RELATIVITY MEDIA
SAFE HAVEN
Summary
Distributors
Company credits
Year of production
2013
Year of production
2013
Genres
Drama, Romance
Genres
Drama, Romance
Countries
USA
Countries
USA
Languages
ENGLISH
Languages
ENGLISH
Duration
115 mn
Duration
115 mn
Director(s)
Lasse HALSTROM
Director(s)
Lasse HALSTROM
Cast
Josh DUHAMEL
,
Julianne HOUGH
,
Cobie SMULDERS
,
David LYONS
Cast
Josh DUHAMEL
,
Julianne HOUGH
,
Cobie SMULDERS
,
David LYONS
Synopsis
Katie Feldman (Julianne Hough) moves to a small town on the North Carolina coast, determined to make a new life for herself. She takes a job as a waitress and keeps a low profile, but she is soon won over by the warmth and caring of the close-knit community, especially that of widower Alex (Josh Duhamel). With the help of Alex and his children, Katie learns to love and trust again -- but when a mysterious stranger arrives and starts asking questions, Katie's dark past threatens to reclaim her.
Synopsis
Katie Feldman (Julianne Hough) moves to a small town on the North Carolina coast, determined to make a new life for herself. She takes a job as a waitress and keeps a low profile, but she is soon won over by the warmth and caring of the close-knit community, especially that of widower Alex (Josh Duhamel). With the help of Alex and his children, Katie learns to love and trust again -- but when a mysterious stranger arrives and starts asking questions, Katie's dark past threatens to reclaim her.","['https://dauvsy92u4wdt.cloudfront.net/fit-in/267x388/prod/film/2450809.jpg?width=267&height=388&404=noimg_film_poster.png?width=267&height=388&404=noimg_film_poster.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggePhotos.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggeDocsAndLinks.png']"
MASTERMINDS,https://cinando.com/en/Film/masterminds_484977/Detail,,
MACHINE GUN PREACHER,https://cinando.com/en/Film/machine_gun_preacher_484976/Detail,"RELATIVITY MEDIA
- as
DISTR
Theatrical, TV, DVD-video, VOD, Airline, World
/
PROD
True Story - Completed 2011

Companies
People
Films
Festivals
News
JOB SEARCH
Home
RELATIVITY MEDIA
MACHINE GUN PREACHER
Summary
Distributors
Company credits
Year of production
2011
Year of production
2011
Genres
True Story, Action/Adventure
Genres
True Story, Action/Adventure
Countries
USA
Countries
USA
Languages
ENGLISH
Languages
ENGLISH
Director(s)
Marc FORSTER
Director(s)
Marc FORSTER
Cast
Gerard BUTLER
,
Michelle MONAGHAN
,
Michael SHANNON
Cast
Gerard BUTLER
,
Michelle MONAGHAN
,
Michael SHANNON
Synopsis
Sam Childers is a former drug-dealing biker tough guy who found God and became a crusader for hundreds of Sudanese children who've been forced to become soldiers.
Synopsis
Sam Childers is a former drug-dealing biker tough guy who found God and became a crusader for hundreds of Sudanese children who've been forced to become soldiers.","['https://dauvsy92u4wdt.cloudfront.net/fit-in/267x388/prod/film/2450787.jpg?width=267&height=388&404=noimg_film_poster.png?width=267&height=388&404=noimg_film_poster.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggePhotos.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggeDocsAndLinks.png']"
