name,link,bio,image
!ZLS PRODUCTIONS,https://cinando.com/en/Company/zls_productions_302804/Detail,"1012 BUDAPEST, HUNGARY
Production Company
We create feature films and animated tv series","['https://cinando.com/Content/images/noimg_company.png?width=286&height=286?width=286&height=286&404=noimg_company.png', 'https://cinando.com/Content/images/pixel_gris.gif?width=1200&height=400&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos1.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeGraphs.png']"
"""BITS"" BY LILLIYA SCARLETT REID",https://cinando.com/en/Company/bits_by_lilliya_scarlett_reid_293140/Detail,"87104 ALBUQUERQUE, USA
Production Company
Short film world premiering in the narrative competition at SXSW on Saturday March 9th, 2024","['https://cinando.com/Content/images/noimg_company.png?width=286&height=286?width=286&height=286&404=noimg_company.png', 'https://cinando.com/Content/images/pixel_gris.gif?width=1200&height=400&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos1.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeGraphs.png']"
#LUX,https://cinando.com/en/Company/lux_74986/Detail,"10012 NEW YORK, USA
Services
We offer to all my clients a transverse approach of online and social media marketing together with marketing and publicity. Combining all of those aspects would be good for the image and visibility of your films and company. This would help voice your films and bring them to the public at all stages: production, release, festivals and pushing the new material.","['https://cinando.com/Content/images/noimg_company.png?width=286&height=286?width=286&height=286&404=noimg_company.png', 'https://cinando.com/Content/images/pixel_gris.gif?width=1200&height=400&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos1.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeGraphs.png']"
&FLOW,https://cinando.com/en/Company/flow_284092/Detail,"SEOUL, KOREA (South)","['https://cinando.com/Content/images/noimg_company.png?width=286&height=286?width=286&height=286&404=noimg_company.png', 'https://cinando.com/Content/images/pixel_gris.gif?width=1200&height=400&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos1.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeGraphs.png']"
(IIM) INSTITUTE OF IMMERSIVE MEDIA,https://cinando.com/en/Company/iim_institute_of_immersive_media_302025/Detail,"BN6 9AU HASSOCKS, UNITED KINGDOM
Interactive & New Media
The Institute of Immersive Media (IIM) is a visionary alliance of state-of-the-art studios and tech heavyweights committed to pushing the boundaries of virtual production, XR and immersive media.

IIM is dedicated to engaging European film festivals, and cultivating a professional community. We enable industry leaders to leverage the latest technology, enabling creativity and possibilities in the realm of storytelling, through comprehensive education, workshops, and collaborative experiences.","['https://cinando.com/Content/images/noimg_company.png?width=286&height=286?width=286&height=286&404=noimg_company.png', 'https://cinando.com/Content/images/pixel_gris.gif?width=1200&height=400&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos1.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeGraphs.png']"
(SIC) PICTURES,https://cinando.com/en/Company/sic_pictures_262578/Detail,"75016 PARIS, FRANCE
Production Company
(SIC) Pictures is a French Film Production Company
founded in November 2020 by three students: Samy Boudiaf, Charles Benoin and Stanislas Wicker.
Sic: ""Thus"" in Latin is used to show that a sentence is quoted as it is, even if the terms or meaning may surprise the reader.
This is an opportunity for us to encourage risk-taking for an innovative film proposal.","['https://cinando.com/Content/images/noimg_company.png?width=286&height=286?width=286&height=286&404=noimg_company.png', 'https://cinando.com/Content/images/pixel_gris.gif?width=1200&height=400&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos1.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeGraphs.png']"
.RAR,https://cinando.com/en/Company/rar_277642/Detail,"70000 HCMC, VIETNAM
Production Company
testing","['https://cinando.com/Content/images/noimg_company.png?width=286&height=286?width=286&height=286&404=noimg_company.png', 'https://cinando.com/Content/images/pixel_gris.gif?width=1200&height=400&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos1.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeGraphs.png']"
@SHADOW MAGIC STUDIOS,https://cinando.com/en/Company/%40shadow_magic_studios_283916/Detail,"90065 LOS ANGELES, USA
Production Company
Start up
Shadow Magic Productions LLC brings a holistic approach to filmmaking through seamless workflows from concept to delivery while keeping the filmmakers' interest at heart. After all, we are not just working for the story and for the audience; we are also WORKING FOR THE FILMMAKERS.

Our production software (in dvlpt), lab services, and data transfer software, Beam Transfer (in beta), demonstrate our commitment to innovation as a means of maximizing dollars on the screen.
• • • Get our diverse slate of scripts onto the screen • • • Ramp up our lab services globally • • • Launch our softwares into the market • • • Empower the next generation of filmmakers • • • And share our love for making movies • • •","['https://dauvsy92u4wdt.cloudfront.net/fit-in/286x286/prod/company/2385097.png?width=286&height=286?width=286&height=286&404=noimg_company.png', 'https://dauvsy92u4wdt.cloudfront.net/fit-in/1200x400/prod/company/2392148.jpg?width=1200&height=400&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos1.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeGraphs.png']"
[SIC] FILM,https://cinando.com/en/Company/sic_film_256633/Detail,"12842 STOCKHOLM, SWEDEN
Production Company
[sic] film was founded in 2015 by producer Siri Hjorton Wagner. The company produces high quality fiction films, often with the perspective of women and/or people of color. Always emphasizing new talents, and aiming to have a diverse team both in front of and behind the camera, [sic] films productions have screened at festivals like Sundance (Audition by Lovisa Sirén, 2016 and The Turk Shop by Bahar Pars, 2018) Berlinale (6A by Peter Modestij, 2016), and received several nominations and prizes","['https://dauvsy92u4wdt.cloudfront.net/fit-in/286x286/prod/company/2010514.jpg?width=286&height=286?width=286&height=286&404=noimg_company.png', 'https://cinando.com/Content/images/pixel_gris.gif?width=1200&height=400&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos1.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeGraphs.png']"
+372 COMMUNITY OU,https://cinando.com/en/Company/372_community_ou_302458/Detail,"10415 TALLINN, ESTONIA
Organization
Producing documentary series and organising hackathon","['https://cinando.com/Content/images/noimg_company.png?width=286&height=286?width=286&height=286&404=noimg_company.png', 'https://cinando.com/Content/images/pixel_gris.gif?width=1200&height=400&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos1.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeGraphs.png']"
