div,a,small,ul,aside,form,section,h1,strong,ol,p
['Books to ScrapeWe love being scraped!'],,,,,,,,,,
['Books to ScrapeWe love being scraped!'],,,,,,,,,,
,['Books to Scrape'],['We love being scraped!'],,,,,,,,
"[""HomeBooksTravelBooksTravelMysteryHistorical FictionSequential ArtClassicsPhilosophyRomanceWomens FictionFictionChildrensReligionNonfictionMusicDefaultScience FictionSports and GamesAdd a commentFantasyNew AdultYoung AdultSciencePoetryParanormalArtPsychologyAutobiographyParentingAdult FictionHumorHorrorHistoryFood and DrinkChristian FictionBusinessBiographyThrillerContemporarySpiritualityAcademicSelf HelpHistoricalChristianSuspenseShort StoriesNovelsHealthPoliticsCulturalEroticaCrimeTravel11results.Warning!This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.It's Only the Himalayas£45.17In stockAdd to basketFull Moon over Noah’s ...£49.43In stockAdd to basketSee America: A Celebration ...£48.87In stockAdd to basketVagabonding: An Uncommon Guide ...£36.94In stockAdd to basketUnder the Tuscan Sun£37.33In stockAdd to basketA Summer In Europe£44.34In stockAdd to basketThe Great Railway Bazaar£30.54In stockAdd to basketA Year in Provence ...£56.88In stockAdd to basketThe Road to Little ...£23.21In stockAdd to basketNeither Here nor There: ...£38.95In stockAdd to basket1,000 Places to See ...£26.08In stockAdd to basket""]",,,,,,,,,,
"[""BooksTravelMysteryHistorical FictionSequential ArtClassicsPhilosophyRomanceWomens FictionFictionChildrensReligionNonfictionMusicDefaultScience FictionSports and GamesAdd a commentFantasyNew AdultYoung AdultSciencePoetryParanormalArtPsychologyAutobiographyParentingAdult FictionHumorHorrorHistoryFood and DrinkChristian FictionBusinessBiographyThrillerContemporarySpiritualityAcademicSelf HelpHistoricalChristianSuspenseShort StoriesNovelsHealthPoliticsCulturalEroticaCrimeTravel11results.Warning!This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.It's Only the Himalayas£45.17In stockAdd to basketFull Moon over Noah’s ...£49.43In stockAdd to basketSee America: A Celebration ...£48.87In stockAdd to basketVagabonding: An Uncommon Guide ...£36.94In stockAdd to basketUnder the Tuscan Sun£37.33In stockAdd to basketA Summer In Europe£44.34In stockAdd to basketThe Great Railway Bazaar£30.54In stockAdd to basketA Year in Provence ...£56.88In stockAdd to basketThe Road to Little ...£23.21In stockAdd to basketNeither Here nor There: ...£38.95In stockAdd to basket1,000 Places to See ...£26.08In stockAdd to basket""]",,,['HomeBooksTravel'],,,,,,,
"[""Travel11results.Warning!This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.It's Only the Himalayas£45.17In stockAdd to basketFull Moon over Noah’s ...£49.43In stockAdd to basketSee America: A Celebration ...£48.87In stockAdd to basketVagabonding: An Uncommon Guide ...£36.94In stockAdd to basketUnder the Tuscan Sun£37.33In stockAdd to basketA Summer In Europe£44.34In stockAdd to basketThe Great Railway Bazaar£30.54In stockAdd to basketA Year in Provence ...£56.88In stockAdd to basketThe Road to Little ...£23.21In stockAdd to basketNeither Here nor There: ...£38.95In stockAdd to basket1,000 Places to See ...£26.08In stockAdd to basket""]",,,,['BooksTravelMysteryHistorical FictionSequential ArtClassicsPhilosophyRomanceWomens FictionFictionChildrensReligionNonfictionMusicDefaultScience FictionSports and GamesAdd a commentFantasyNew AdultYoung AdultSciencePoetryParanormalArtPsychologyAutobiographyParentingAdult FictionHumorHorrorHistoryFood and DrinkChristian FictionBusinessBiographyThrillerContemporarySpiritualityAcademicSelf HelpHistoricalChristianSuspenseShort StoriesNovelsHealthPoliticsCulturalEroticaCrime'],,,,,,
,,,['BooksTravelMysteryHistorical FictionSequential ArtClassicsPhilosophyRomanceWomens FictionFictionChildrensReligionNonfictionMusicDefaultScience FictionSports and GamesAdd a commentFantasyNew AdultYoung AdultSciencePoetryParanormalArtPsychologyAutobiographyParentingAdult FictionHumorHorrorHistoryFood and DrinkChristian FictionBusinessBiographyThrillerContemporarySpiritualityAcademicSelf HelpHistoricalChristianSuspenseShort StoriesNovelsHealthPoliticsCulturalEroticaCrime'],,,,,,,
['Travel'],,,,,['11results.'],"[""Warning!This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.It's Only the Himalayas£45.17In stockAdd to basketFull Moon over Noah’s ...£49.43In stockAdd to basketSee America: A Celebration ...£48.87In stockAdd to basketVagabonding: An Uncommon Guide ...£36.94In stockAdd to basketUnder the Tuscan Sun£37.33In stockAdd to basketA Summer In Europe£44.34In stockAdd to basketThe Great Railway Bazaar£30.54In stockAdd to basketA Year in Provence ...£56.88In stockAdd to basketThe Road to Little ...£23.21In stockAdd to basketNeither Here nor There: ...£38.95In stockAdd to basket1,000 Places to See ...£26.08In stockAdd to basket""]",,,,
,,,,,,,['Travel'],,,
,,,,,,,,['Warning!'],,
,,,,,,,,,"[""It's Only the Himalayas£45.17In stockAdd to basketFull Moon over Noah’s ...£49.43In stockAdd to basketSee America: A Celebration ...£48.87In stockAdd to basketVagabonding: An Uncommon Guide ...£36.94In stockAdd to basketUnder the Tuscan Sun£37.33In stockAdd to basketA Summer In Europe£44.34In stockAdd to basketThe Great Railway Bazaar£30.54In stockAdd to basketA Year in Provence ...£56.88In stockAdd to basketThe Road to Little ...£23.21In stockAdd to basketNeither Here nor There: ...£38.95In stockAdd to basket1,000 Places to See ...£26.08In stockAdd to basket""]",
,,,,,['Add to basket'],,,,,"['£45.17', 'In stock']"
,,,,,['Add to basket'],,,,,"['£49.43', 'In stock']"
,,,,,['Add to basket'],,,,,"['£48.87', 'In stock']"
,,,,,['Add to basket'],,,,,"['£36.94', 'In stock']"
,,,,,['Add to basket'],,,,,"['£37.33', 'In stock']"
,,,,,['Add to basket'],,,,,"['£44.34', 'In stock']"
,,,,,['Add to basket'],,,,,"['£30.54', 'In stock']"
,,,,,['Add to basket'],,,,,"['£56.88', 'In stock']"
,,,,,['Add to basket'],,,,,"['£23.21', 'In stock']"
,,,,,['Add to basket'],,,,,"['£38.95', 'In stock']"
,,,,,['Add to basket'],,,,,"['£26.08', 'In stock']"
