name,link,bio,image
Cancel,https://cinando.com,"Enjoy easy access to the most in-demand tools for film professionals now!
Cinando is the
premier online network for film professionals
offering you the best tools to navigate the film industry:
contacts, films, projects in development, market screening schedules,
market attendees, screeners...
it's all here!
Stay connected with partners and clients & create new business connections.
Use our search filters to quickly access film, company, and personal profiles all year long.
Access certified info: attendees, screening schedules and more within our market themes.
Highlight your company info, upload videos & post news about your activity.
Protect your screeners from piracy with DRM studio-grade security, non-removable individual watermark & detailed viewing reports.
Our player automatically adjusts to your client's bandwidth to give them a smooth viewing experience.
Send out short invitation links to anyone from your Cinando account or personal mailbox.
Access content on-the-go via the Cinando Screeners app available for iPhone and Android.
Register your company on Cinando
for only 149€ a year!","['https://cinando.com/Content/images/logo-large.png', 'https://cinando.com/Content/images/service-network.png', 'https://cinando.com/Content/images/service-search.png', 'https://cinando.com/Content/images/service-prep.png', 'https://cinando.com/Content/images/service-showcase.png', 'https://cinando.com/Content/images/service-security.png', 'https://cinando.com/Content/images/Smooth.svg', 'https://cinando.com/Content/images/service-invitation.png', 'https://cinando.com/Content/images/Premium.svg', 'https://cinando.com/Content/images/cinando-app.png', 'https://cinando.com/Content/images/appstore.png', 'https://cinando.com/Content/images/googleplay.png']"
cookie policy,https://cinando.com/res/PDF/CGU_en.pdf,,[]
Jessica -,https://cinando.com/en/People/_jessica_774113/Detail,"Companies
People
Films
Festivals
News
JOB SEARCH
Home
HAINING TIANYUAN CULTURAL MEDIA CO.,LTD
Jessica -
Find me","['https://cinando.com/en/People/image/774113', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeDesc.png']"
Rinchin ,https://cinando.com/en/People/_rinchin_805732/Detail,"Director Producer
Companies
People
Films
Festivals
News
JOB SEARCH
Home
HAMSHAHARI CREATIONS LLP
Rinchin
Find me","['https://cinando.com/en/People/image/805732', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeDesc.png']"
Busan,https://cinando.com,"Enjoy easy access to the most in-demand tools for film professionals now!
Cinando is the
premier online network for film professionals
offering you the best tools to navigate the film industry:
contacts, films, projects in development, market screening schedules,
market attendees, screeners...
it's all here!
Stay connected with partners and clients & create new business connections.
Use our search filters to quickly access film, company, and personal profiles all year long.
Access certified info: attendees, screening schedules and more within our market themes.
Highlight your company info, upload videos & post news about your activity.
Protect your screeners from piracy with DRM studio-grade security, non-removable individual watermark & detailed viewing reports.
Our player automatically adjusts to your client's bandwidth to give them a smooth viewing experience.
Send out short invitation links to anyone from your Cinando account or personal mailbox.
Access content on-the-go via the Cinando Screeners app available for iPhone and Android.
Register your company on Cinando
for only 149€ a year!","['https://cinando.com/Content/images/logo-large.png', 'https://cinando.com/Content/images/service-network.png', 'https://cinando.com/Content/images/service-search.png', 'https://cinando.com/Content/images/service-prep.png', 'https://cinando.com/Content/images/service-showcase.png', 'https://cinando.com/Content/images/service-security.png', 'https://cinando.com/Content/images/Smooth.svg', 'https://cinando.com/Content/images/service-invitation.png', 'https://cinando.com/Content/images/Premium.svg', 'https://cinando.com/Content/images/cinando-app.png', 'https://cinando.com/Content/images/appstore.png', 'https://cinando.com/Content/images/googleplay.png']"
Raghad A BAJBAA,https://cinando.com/en/People/a_bajbaa_raghad_719122/Detail,"Production Manager - SAUDI ARABIA
Companies
People
Films
Festivals
News
JOB SEARCH
Home
FILM ALULA
Raghad A BAJBAA
Find me","['https://cinando.com/en/People/image/719122', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos.png', 'https://dauvsy92u4wdt.cloudfront.net/fit-in/80x80/prod/company/1990277.png?width=80&height=80&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeDesc.png']"
Send Private Message,https://cinando.com/en/Messages?people=719122,"Enjoy easy access to the most in-demand tools for film professionals now!
Cinando is the
premier online network for film professionals
offering you the best tools to navigate the film industry:
contacts, films, projects in development, market screening schedules,
market attendees, screeners...
it's all here!
Stay connected with partners and clients & create new business connections.
Use our search filters to quickly access film, company, and personal profiles all year long.
Access certified info: attendees, screening schedules and more within our market themes.
Highlight your company info, upload videos & post news about your activity.
Protect your screeners from piracy with DRM studio-grade security, non-removable individual watermark & detailed viewing reports.
Our player automatically adjusts to your client's bandwidth to give them a smooth viewing experience.
Send out short invitation links to anyone from your Cinando account or personal mailbox.
Access content on-the-go via the Cinando Screeners app available for iPhone and Android.
Register your company on Cinando
for only 149€ a year!","['https://cinando.com/Content/images/logo-large.png', 'https://cinando.com/Content/images/service-network.png', 'https://cinando.com/Content/images/service-search.png', 'https://cinando.com/Content/images/service-prep.png', 'https://cinando.com/Content/images/service-showcase.png', 'https://cinando.com/Content/images/service-security.png', 'https://cinando.com/Content/images/Smooth.svg', 'https://cinando.com/Content/images/service-invitation.png', 'https://cinando.com/Content/images/Premium.svg', 'https://cinando.com/Content/images/cinando-app.png', 'https://cinando.com/Content/images/appstore.png', 'https://cinando.com/Content/images/googleplay.png']"
Markus A CAMPO,https://cinando.com/en/People/a_campo_markus_1841/Detail,"Acquisitions Manager
Management
Companies
People
Films
Festivals
News
JOB SEARCH
Home
FILMSTUDIO AN DER RWTH AACHEN
Markus A CAMPO
Find me","['https://cinando.com/en/People/image/1841', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos.png', 'https://dauvsy92u4wdt.cloudfront.net/fit-in/80x80/prod/company/852015.jpg?width=80&height=80&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeDesc.png']"
Rhea A LEWIS-WOODSON,https://cinando.com/en/People/a_lewiswoodson_rhea_345467/Detail,"Managing Director
Management
Companies
People
Films
Festivals
News
JOB SEARCH
Home
PALM SPRINGS INTERNATIONAL FILM FESTIVAL
Rhea A LEWIS-WOODSON","['https://cinando.com/en/People/image/345467', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos.png', 'https://dauvsy92u4wdt.cloudfront.net/fit-in/80x80/prod/company/856156.jpg?width=80&height=80&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeDesc.png']"
Send email,mailto:rhea@psfilmfest.org,,
