name,link,bio,image,special_id,collected_at
About,https://www.internationalcuratorsforum.org/about/,"



We provide tools and platforms for professional development and facilitate an open peer-to-peer network inviting participants to be part of a generative ecology of skills and knowledge sharing. Across all of our work, both critically and practically, we are committed to challenging the barriers to equality and inclusivity within our industry.
Through all aspects of our programme we engage with the concept of diaspora as a critical framework through which we can address and complicate notions of identity, test and explore new innovative curatorial models, and create space for artistic and discursive interventions into historical narratives and systems of representation.
Based in London, ICF has conceived and produced projects with artists, curators and thinkers who engage with diaspora across the UK, Europe, the Caribbean, Asia, the Middle East and Australia.
Find our more about our projectshere.
Read our Environmental Responsibility Statementhere.",https://www.internationalcuratorsforum.org/wp-content/uploads/2017/02/BEF-3-1024x683.jpg,data_a478f401dc7d5fee5c6b49530448bbd6_20240926201300,2024-09-26 20:13:00.558771
Events,https://www.internationalcuratorsforum.org/events/,"Our public programme includes  screenings, performances, symposia, talks, workshops and reading groups which create spaces for critical questioning, knowledge sharing and nurturing ideas through cross-disciplinary dialogue.Sign up to our newsletter to be the first to know about our latest events.",https://www.internationalcuratorsforum.org/wp-content/uploads/2024/05/TEN.8-Event-page-768x471.jpg,data_a478f401dc7d5fee5c6b49530448bbd6_20240926201300,2024-09-26 20:13:00.558771
Projects,https://www.internationalcuratorsforum.org/projects/,"We deliver exhibitions, professional development programmes, publishing, digital projects and commissions in collaboration with strategic partners. We work across a range of mediums to develop projects that widen the scope of what is possible within and beyond conventional art spaces.Our projects are nationally and internationally notable for their innovative proposals and approaches. We address professional development and cultural diversity while curating critical interventions into issues concerning diasporic culture in a global context.",https://www.internationalcuratorsforum.org/wp-content/uploads/2023/07/LIVING-ARCHIVES-web-banner-7-768x403.jpg,data_a478f401dc7d5fee5c6b49530448bbd6_20240926201300,2024-09-26 20:13:00.558771
Archive,https://www.internationalcuratorsforum.org/archive-home/,"Explore ICF’s archive of materials generated through our work since 2007, with options to filter using the critical themes we address and the range of media we employ.",https://www.internationalcuratorsforum.org/wp-content/uploads/2020/09/4-Jamila-Giorgia.jpg,data_a478f401dc7d5fee5c6b49530448bbd6_20240926201300,2024-09-26 20:13:00.558771
News,https://www.internationalcuratorsforum.org/news/,,https://www.internationalcuratorsforum.org/wp-content/uploads/2024/05/Untitled-design-1-768x493.jpg,data_a478f401dc7d5fee5c6b49530448bbd6_20240926201300,2024-09-26 20:13:00.558771
Contact,https://www.internationalcuratorsforum.org/contact/,,,data_a478f401dc7d5fee5c6b49530448bbd6_20240926201300,2024-09-26 20:13:00.558771
Shop,https://www.internationalcuratorsforum.org/shop/,Welcome to the ICF shop. Every purchase you make supports the delivery of our public and professional development programmes.,https://www.internationalcuratorsforum.org/wp-content/uploads/2024/04/IMG_3668-768x512.jpg,data_a478f401dc7d5fee5c6b49530448bbd6_20240926201300,2024-09-26 20:13:00.558771
Basket,https://www.internationalcuratorsforum.org/basket/,Your basket is empty!,,data_a478f401dc7d5fee5c6b49530448bbd6_20240926201300,2024-09-26 20:13:00.558771
Sign up to newsletter,https://www.internationalcuratorsforum.org,"International Curators Forum (ICF) was founded by artists and curators in 2007 to offer a programme of commissions, exhibitions, projects, publications and events that respond to the material conditions and cultural contexts impacting creative practitioners today.
Faire Monde(s) in collaboration with ICF invited a group of distinguished artists and curators to talk about their recent participation in the 2022 Biennale de Venezia and documenta 15.
“I am incredibly grateful for the opportunity to continue developing my practice and critical research instigated by my time as part of this project and really look forward to continuing these dialogues, as the questions of migration and belonging become more crucial by the day.”
Abbas Zahedi, Diaspora Pavilion participating artist
“This fellowship at the ICF was different; it gave me the permission and practical support I needed to explore and experiment with my own interests. At my own pace, I had an open-ended opportunity to connect to other cultural practitioners and new ideas through ICF’s archive and extended networks.”
Yewande YoYo Odunubi, 2021-22 Diasporic Animateur Curatorial Fellow
“The opportunity to be part of the Diaspora Pavilion project at ICF has been an immeasurable experience in my early career as a practicing artist to date.”
Larry Achiampong, Diaspora Pavilion participating artist",https://www.internationalcuratorsforum.org/wp-content/uploads/2023/08/LIVING-ARCHIVES-FACEBOOK-Ingrid-Rudy-768x403.jpg,data_a478f401dc7d5fee5c6b49530448bbd6_20240926201300,2024-09-26 20:13:00.558771
Donate,https://www.internationalcuratorsforum.org/donate/,"ICF is a registered charity with more than 15 years of experience. We are a unique organisation for cultural transformation focused on the social impact of the visual arts across issues and borders.



Your support empowers us to fulfil our mission to nurture artists, curators and communities. Every donation we receive goes directly towards delivering our programme of professional development initiatives, exhibitions, events and workshops designed to respond to the needs of and contexts impacting creative practitioners underrepresented in our industry.
We thank you for your support.

",https://www.internationalcuratorsforum.org/wp-content/themes/icf/assets/images/JustGivingButton.png,data_a478f401dc7d5fee5c6b49530448bbd6_20240926201300,2024-09-26 20:13:00.558771
Team,https://www.internationalcuratorsforum.org/about/team/,,https://www.internationalcuratorsforum.org/wp-content/uploads/2022/09/Screenshot-2022-12-13-at-17.02.19-768x428.png,data_a478f401dc7d5fee5c6b49530448bbd6_20240926201300,2024-09-26 20:13:00.558771
Practitioners,https://www.internationalcuratorsforum.org/about/practitioners/,,,data_a478f401dc7d5fee5c6b49530448bbd6_20240926201300,2024-09-26 20:13:00.558771
