name,link,bio,image,special_id,collected_at
Featured,https://curatorsintl.org/about/collaborators/featured,,https://curatorsintl.org/images/Screen_Shot_2022_09_21_at_1.38.43_PM.png?w=1920,data_c7deff8e6607e5e021381b7a90b4c8a0_20240926202940,2024-09-26 20:29:40.607137
All,https://curatorsintl.org/about/collaborators,,,data_c7deff8e6607e5e021381b7a90b4c8a0_20240926202940,2024-09-26 20:29:40.607137
Artists,https://curatorsintl.org/about/collaborators/categories/49-artists,,,data_c7deff8e6607e5e021381b7a90b4c8a0_20240926202940,2024-09-26 20:29:40.607137
Curators,https://curatorsintl.org/about/collaborators/categories/50-curators,,,data_c7deff8e6607e5e021381b7a90b4c8a0_20240926202940,2024-09-26 20:29:40.607137
Organizations,https://curatorsintl.org/about/collaborators/categories/51-organizations,,,data_c7deff8e6607e5e021381b7a90b4c8a0_20240926202940,2024-09-26 20:29:40.607137
Alumni,https://curatorsintl.org/about/collaborators/categories/52-alumni,,,data_c7deff8e6607e5e021381b7a90b4c8a0_20240926202940,2024-09-26 20:29:40.607137
Shujaat Abrar,https://curatorsintl.org/about/collaborators/19347-shujaat-abrar,,https://curatorsintl.org/images/IMG_1568web.jpg?w=1920,data_c7deff8e6607e5e021381b7a90b4c8a0_20240926202940,2024-09-26 20:29:40.607137
Anabella Acevedo,https://curatorsintl.org/about/collaborators/6741-anabella-acevedo,"Anabella Acevedo is Executive Director of Ciudad de la Imaginación. She is an independent academic; she has resided and worked in Quetzaltenango since 2005. She holds an undergraduate degree in Literature and Philosophy from the Rafael Landívar University. She obtained her Master’s in Latin American Literature in 1989 and a doctorate in Latin American Literature from the University of Georgia in 1994. She was the Director of the Ford Foundation International Fellowship Program in Guatemala, form 2001 to 2013, when she worked at the Centro de Investigaciones Regionales de Mesoamérica (CIRMA). She has co-curated several exhibits, such asEstados de Excepción (States of Exception)in Quetzaltenango, Guatemala. In 2001 she was the recipient of a Rockefeller Foundation research grant for the project “Marginalidades, transgresiones y negociaciones. La violencia en Guatemala a través de las prácticas culturales de los jóvenes.” Acevedo curated the XVII and XIX Bienal de Arte Paiz in Guatemala (2012 & 2014). In 2013 she formed part of a research team for the “The curvature of time, Art and Women.” She has published several essays about literature and Guatemalan Art.",https://curatorsintl.org/images/NUMU.jpg?w=1920,data_c7deff8e6607e5e021381b7a90b4c8a0_20240926202940,2024-09-26 20:29:40.607137
Carla Acevedo-Yates,https://curatorsintl.org/about/collaborators/23373-carla-acevedo-yates,Carla Acevedo-Yates is the Marilyn and Larry Fields Curator at MCA Chicago.,https://curatorsintl.org/images/ExpoDay3_0063.jpg?w=1920,data_c7deff8e6607e5e021381b7a90b4c8a0_20240926202940,2024-09-26 20:29:40.607137
Mariela Acuña,https://curatorsintl.org/about/collaborators/23099-mariela-acua,"Mariela Acuña is an art administrator, curator, and occasional weaver from San José, Costa Rica, currently based in Chicago. In her position of Exhibitions and Residency Manager at Hyde Park Art Center, her primary role is to program the Jackman Goldwasser Residency, which invites local, national, and international artists and curators to hone their practice, develop research, and expand their networks in the context of a community-focused contemporary art center. Through her role at the Art Center, Mariela also curates exhibitions, manages publications, and collaborates with the team behind the innovative regranting initiative, Artists Run Chicago Fund, which awards grants to artist-run platforms in the city. Acuña’s recent curatorial projects includeJoseriberto Perez: Bobo Deco(November 2022), the 2022 Ground Floor Biennial (co-curated with Allison Peters Quinn, December 2022), andWilliam Estrada: Multiples and Multitudes(July 22-October 19, 2023).
Acuña has held positions at the Norton Museum of Art, the University Galleries at Florida Atlantic University, and Girls’ Club Collection, Fort Lauderdale. She earned a B.A. in Art History and a B.F.A. in Sculpture from Florida Atlantic University and a dual M.A. in Art Administration and Public Policy and Art History, Theory and Criticism from the School of the Art Institute of Chicago.",https://curatorsintl.org/images/Mariela_Acun_a.jpg?w=1920,data_c7deff8e6607e5e021381b7a90b4c8a0_20240926202940,2024-09-26 20:29:40.607137
